id,color_side,color_top,WKT,lon,lat
281593942,蓝色,蓝色,"MultiPolygon (((24.98005249 60.19273578, 24.98002036 60.19280263, 24.97972603 60.19276767, 24.97975816 60.19270082, 24.98005249 60.19273578)))",24.979889260000004,60.19275172500001
280849065,灰色,深灰色,"MultiPolygon (((24.96809782 60.18992568, 24.96818655 60.18990866, 24.96828112 60.19003053, 24.9681924 60.19004755, 24.96809782 60.18992568)))",24.968189471625518,60.18997810402312
282005726,灰色,深灰色,"MultiPolygon (((24.98208892 60.18620435, 24.98210782 60.18628325, 24.98203113 60.18628779, 24.982039 60.18632066, 24.98177189 60.18633648, 24.9817533 60.1862589, 24.98186967 60.18625201, 24.98186148 60.18621782, 24.98208892 60.18620435)))",24.981934440784396,60.18627191899194
281832410,灰色,深灰色,"MultiPolygon (((24.95792669 60.18395301, 24.95794024 60.18395025, 24.95801981 60.18399508, 24.95804531 60.18402608, 24.95808323 60.18404744, 24.95810314 60.18407163, 24.95807404 60.1840844, 24.95798315 60.18410289, 24.95795706 60.18408819, 24.95789953 60.1840999, 24.95788449 60.18408162, 24.95780706 60.18409737, 24.95778192 60.18408321, 24.95775297 60.18409591, 24.95776082 60.18410544, 24.95773043 60.18411163, 24.95770155 60.18409535, 24.95767521 60.18406334, 24.95792669 60.18395301)))",24.957898120324277,60.18404230102846
280940027,蓝色,绿色,"MultiPolygon (((24.93029165 60.18249273, 24.93020235 60.18222674, 24.93041499 60.18220909, 24.93050432 60.18247508, 24.93029165 60.18249273)))",24.93035332868292,60.18235091302883
282254807,浅灰,浅蓝,"MultiPolygon (((24.96747293 60.18132278, 24.96708128 60.18149408, 24.96690836 60.18139633, 24.9670386 60.18133937, 24.96705439 60.18133646, 24.96712535 60.18130542, 24.96736443 60.18126144, 24.96747293 60.18132278)))",24.967184410549095,60.18136919209151
282740698,米白色,灰色,"MultiPolygon (((24.97245127 60.1762101, 24.97269852 60.17618508, 24.9728624 60.17658552, 24.97261515 60.17661054, 24.97245127 60.1762101)))",24.972656835000002,60.176397810000005
279801620,灰色,灰色,"MultiPolygon (((24.9557186 60.16272911, 24.95557992 60.16277924, 24.95544089 60.16268403, 24.95557958 60.1626339, 24.9557186 60.16272911)))",24.955579746666036,60.16270656972936
282019007,灰色,深蓝色,"MultiPolygon (((24.95270646 60.16373982, 24.95287986 60.16361163, 24.95299178 60.16364911, 24.95281838 60.16377729, 24.95270646 60.16373982)))",24.95284912070128,60.16369446144371
283033913,灰色,灰色,"MultiPolygon (((24.90714251 60.15933987, 24.9072946 60.15921698, 24.90760185 60.15931114, 24.90747179 60.15941623, 24.90752235 60.15943173, 24.90750032 60.15944953, 24.90714251 60.15933987)))",24.9073748312239,60.159328006237544
280581569,灰色,灰色,"MultiPolygon (((24.91786036 60.15160432, 24.91795684 60.15170292, 24.91785494 60.15172762, 24.91774157 60.15161176, 24.91779577 60.15159862, 24.91781266 60.15161588, 24.91786036 60.15160432)))",24.917850789335116,60.15166152740518
281139443,灰色,蓝色,"MultiPolygon (((24.91498589 60.14897281, 24.91475043 60.14877658, 24.91465497 60.14877303, 24.91462884 60.14875125, 24.91461203 60.14875063, 24.91461622 60.14872272, 24.91461341 60.14872355, 24.91463104 60.14860617, 24.91462762 60.14860718, 24.91460755 60.14859045, 24.91466488 60.14857341, 24.91470045 60.14860305, 24.91481327 60.14860725, 24.91480963 60.14863145, 24.91486794 60.14868004, 24.91491947 60.14868196, 24.91486956 60.1486968, 24.91486803 60.14870695, 24.91488711 60.14872284, 24.91488263 60.14875264, 24.91490616 60.14877225, 24.91492862 60.14877309, 24.91496724 60.14880527, 24.91491947 60.14881947, 24.91496088 60.14882101, 24.91495563 60.14885594, 24.91505575 60.14893938, 24.91505098 60.14897116, 24.91506882 60.14898603, 24.91502951 60.14898456, 24.91501678 60.14897395, 24.91498589 60.14897281)))",24.91480773980231,60.14875560452033
280700694,深蓝,深蓝,"MultiPolygon (((24.92185803 60.14669267, 24.92194828 60.14667253, 24.92198387 60.14663847, 24.92199099 60.14664032, 24.92212201 60.14651494, 24.92236667 60.14646034, 24.92234164 60.14643255, 24.92241174 60.14641691, 24.92240272 60.1464069, 24.92247633 60.14639048, 24.92244177 60.14642356, 24.92247674 60.14641575, 24.92241126 60.14647843, 24.92235517 60.14649095, 24.92239118 60.14650027, 24.92234697 60.14651014, 24.92215403 60.14669477, 24.92214658 60.1466865, 24.92213312 60.14669938, 24.92200021 60.14672904, 24.92196524 60.14676251, 24.92193913 60.14675575, 24.92191224 60.14678148, 24.92185669 60.14676709, 24.92189823 60.14675782, 24.92185771 60.14674733, 24.92187032 60.14673526, 24.92185383 60.14673099, 24.92193558 60.14671275, 24.92185803 60.14669267)))",24.922145451976494,60.146599391709714
