id,name,type,WKT,lon,lat,:LABEL
15223910,Albertinkatu,tertiary,"MULTILINESTRING ((24.930441 60.166384, 24.930486 60.16631, 24.930524 60.166275, 24.930617 60.166212), (24.930617 60.166212, 24.93062 60.16631, 24.930642 60.166386), (24.930617 60.166212, 24.931038 60.16591, 24.931089 60.165874, 24.931123 60.16585, 24.931161 60.165822, 24.931227 60.165777, 24.931292 60.16573, 24.931322 60.165709, 24.931602 60.165513, 24.931721 60.16543, 24.931737 60.165418, 24.931848 60.165341), (24.931887 60.165314, 24.931937 60.165278, 24.931999 60.165235, 24.932061 60.165191, 24.932271 60.165042, 24.932573 60.164828, 24.932586 60.164819, 24.932822 60.164652, 24.932919 60.164583, 24.933003 60.164523, 24.933074 60.164472, 24.933151 60.164416), (24.933174 60.164399, 24.933383 60.164248, 24.933576 60.164108, 24.933811 60.163938, 24.933862 60.163901, 24.933951 60.163838, 24.934231 60.163639, 24.934338 60.163563, 24.934372 60.163539, 24.934423 60.163503, 24.934484 60.163457, 24.9345 60.163446, 24.934517 60.163434, 24.93458 60.163388, 24.935023 60.163072, 24.935305 60.162871, 24.935336 60.162849, 24.935462 60.162759), (24.93551 60.162725, 24.935542 60.162702, 24.935594 60.162664, 24.935661 60.162617, 24.93599 60.162375, 24.936255 60.162184, 24.936303 60.16215, 24.936397 60.162082, 24.936429 60.162059, 24.936442 60.16205, 24.936642 60.161906, 24.936806 60.161787, 24.936889 60.161728, 24.936953 60.161681, 24.937016 60.161635, 24.937047 60.161613, 24.93716 60.161534, 24.937289 60.161443, 24.937368 60.161388, 24.937622 60.161209, 24.937674 60.161173, 24.937772 60.161108, 24.937848 60.161056, 24.937887 60.16103, 24.938045 60.160918, 24.93815 60.160844, 24.938222 60.160793, 24.938531 60.160574, 24.938602 60.160524, 24.938656 60.160487, 24.938706 60.160452, 24.938741 60.160427, 24.939053 60.160208, 24.939282 60.160048, 24.939355 60.159996, 24.939416 60.159953, 24.939479 60.159908, 24.939947 60.159583, 24.940216 60.159396, 24.940265 60.159359))",24.935283713209326,60.162889479816094,Road
14601899,Aleksanterinkatu,service,"LINESTRING (24.940832 60.168486, 24.940926 60.16852, 24.941 60.168547, 24.941041 60.168564, 24.941486 60.168727, 24.941564 60.168754, 24.941634 60.168777, 24.941712 60.168794, 24.941796 60.168804, 24.941885 60.16881, 24.942907 60.168833, 24.944302 60.168868, 24.94555 60.168897, 24.945772 60.168901, 24.945892 60.168903, 24.947429 60.168943, 24.949227 60.168986, 24.949328 60.168989, 24.949435 60.168991, 24.950753 60.169024, 24.951021 60.169031, 24.951129 60.16902, 24.951324 60.169023, 24.951991 60.16904, 24.95208 60.169043, 24.95306 60.169069, 24.953103 60.16907, 24.953279 60.169075, 24.953399 60.169082, 24.953514 60.16909, 24.953544 60.169092, 24.953748 60.1691, 24.953802 60.169101, 24.953842 60.169102, 24.954 60.169104, 24.954062 60.169106, 24.954282 60.169111, 24.954599 60.16912, 24.954782 60.169125, 24.955045 60.169132, 24.955121 60.169134, 24.955838 60.169154, 24.955946 60.169157, 24.95618 60.169164, 24.956652 60.169175, 24.956726 60.169178, 24.956845 60.169181, 24.957005 60.169185, 24.957915 60.169206, 24.957978 60.169198, 24.958153 60.169202, 24.9582 60.169202, 24.958336 60.169207, 24.95851 60.169211)",24.949646042117063,60.16898875787494,Road
22957492,Aleksis Kiven katu,secondary,"MULTILINESTRING ((24.935923 60.19551, 24.936127 60.19552, 24.936415 60.195525, 24.93654 60.19552, 24.937263 60.195489, 24.937388 60.195483, 24.937594 60.195469, 24.937688 60.195452, 24.937769 60.195427, 24.938389 60.195182, 24.938492 60.195136, 24.938743 60.195094), (24.938743 60.195094, 24.938592 60.195195, 24.938487 60.195239, 24.938201 60.195373, 24.937828 60.195529, 24.937674 60.195563, 24.937548 60.195578, 24.937411 60.195585, 24.937282 60.195591, 24.936539 60.195626, 24.936432 60.19563, 24.93615 60.195641, 24.935931 60.195647), (24.941274 60.194036, 24.941124 60.194099, 24.940893 60.194196, 24.94035 60.194424, 24.940264 60.194461, 24.940154 60.194507, 24.939993 60.194574, 24.939902 60.194609, 24.939252 60.194888, 24.939164 60.194925, 24.938743 60.195094), (24.942936 60.193329, 24.942863 60.193361, 24.942664 60.193449, 24.942498 60.193521, 24.942308 60.193603, 24.942212 60.193645, 24.942082 60.193699, 24.94192 60.193766, 24.941842 60.193799, 24.941342 60.194009), (24.942936 60.193329, 24.942951 60.193264, 24.943032 60.193214, 24.943182 60.193146, 24.943431 60.193028, 24.943978 60.192804, 24.944158 60.19274, 24.944386 60.192645, 24.944559 60.19257, 24.94464 60.192535, 24.944963 60.192401, 24.946023 60.191959, 24.946055 60.191947, 24.946246 60.191868, 24.946447 60.191785, 24.946487 60.191769, 24.946821 60.191627, 24.946892 60.191598, 24.947917 60.191171, 24.948048 60.191102, 24.948102 60.191075, 24.948141 60.191055, 24.948764 60.19079, 24.948835 60.19076, 24.949109 60.190644, 24.949138 60.190631, 24.949181 60.190614, 24.949196 60.190607, 24.949238 60.19059, 24.949297 60.190566, 24.949418 60.190519, 24.949628 60.190445, 24.949796 60.190377, 24.950136 60.190237, 24.950162 60.190226, 24.950212 60.190206, 24.950412 60.190129, 24.950475 60.190104, 24.950798 60.18999, 24.950997 60.189926, 24.951136 60.189883, 24.95126 60.189846, 24.951376 60.189814, 24.95143 60.189799, 24.951662 60.189737, 24.951898 60.189679, 24.95227 60.189601, 24.952511 60.189556, 24.952555 60.189547, 24.952632 60.189532, 24.952786 60.189506, 24.952894 60.189486, 24.953214 60.189568), (24.953214 60.189568, 24.953092 60.189581, 24.952871 60.18961, 24.95264 60.189653, 24.952511 60.189678, 24.952174 60.189749, 24.951908 60.189809, 24.951717 60.189855, 24.951635 60.189876, 24.951545 60.1899, 24.951516 60.189907, 24.951228 60.18999, 24.95103 60.19005, 24.950922 60.190082, 24.950635 60.190184, 24.950556 60.190215, 24.950366 60.19029, 24.950144 60.190378, 24.949931 60.190483, 24.949669 60.190586, 24.94954 60.190637, 24.949435 60.190681, 24.949396 60.190698, 24.949354 60.190715, 24.949298 60.190739, 24.949006 60.190863, 24.948373 60.191126, 24.948277 60.191166, 24.948266 60.191171, 24.948159 60.191214, 24.947984 60.191273, 24.946701 60.191813, 24.946579 60.191863, 24.946375 60.191948, 24.946189 60.192025, 24.946154 60.192039, 24.94608 60.19207, 24.945604 60.19227, 24.94461 60.192687, 24.944522 60.192726, 24.944299 60.192821, 24.944146 60.192898, 24.943666 60.193097, 24.943607 60.193122, 24.943469 60.193177, 24.943382 60.193212, 24.943326 60.193235, 24.943171 60.193296, 24.943054 60.193329, 24.942936 60.193329), (24.955924 60.18944, 24.955685 60.189439, 24.955372 60.189437, 24.955104 60.189438, 24.954719 60.189443, 24.954465 60.189451, 24.95412 60.189471, 24.953851 60.189488, 24.953214 60.189568))",24.945839341641218,60.19218539174639,Road
5094328,Allastie,residential,"LINESTRING (24.962766 60.210261, 24.962654 60.210206, 24.962632 60.210196, 24.961194 60.209528, 24.961056 60.209464, 24.960951 60.209439)",24.96186238838243,60.20983922013099,Road
8064884,Alli Lindforsv?gen,footway,"MULTILINESTRING ((24.902787 60.204465, 24.903236 60.20445, 24.903752 60.204706, 24.903974 60.204816, 24.904567 60.205118, 24.904856 60.205267))",24.903841787748433,60.204776740574005,Road
5069742,Allotriankuja,residential,"LINESTRING (24.964419 60.190588, 24.964516 60.190575, 24.964572 60.190567, 24.964657 60.190555, 24.964776 60.190548, 24.964848 60.190541, 24.96538 60.190473, 24.965901 60.190405, 24.965996 60.190393, 24.966271 60.190358, 24.966633 60.19031, 24.966653 60.190349, 24.966905 60.190316)",24.965671503360383,60.19043811295859,Road
4445365,Alppikatu,residential,"MULTILINESTRING ((24.946712 60.185753, 24.945529 60.185722, 24.944641 60.185699, 24.944009 60.185681, 24.943969 60.18568, 24.94378 60.185673, 24.943606 60.185654, 24.943022 60.185556, 24.942831 60.185526, 24.942633 60.185495, 24.942572 60.185485, 24.942481 60.185471, 24.942343 60.185449, 24.942158 60.18542, 24.942089 60.185408, 24.941879 60.185372, 24.941771 60.185326, 24.941681 60.185285, 24.94165 60.185263, 24.941361 60.185076, 24.940869 60.184756, 24.940779 60.184699, 24.940737 60.184674, 24.940643 60.184617, 24.940605 60.184593, 24.940549 60.18456, 24.940488 60.184519, 24.940155 60.184298, 24.940049 60.184228, 24.939568 60.183922, 24.939534 60.183901, 24.939469 60.183864, 24.93946 60.183857), (24.946984 60.185758, 24.946876 60.185756, 24.946766 60.185754), (24.949971 60.185818, 24.949822 60.185812, 24.949344 60.185804, 24.949201 60.185801, 24.949072 60.185798, 24.949026 60.185797, 24.948532 60.185787, 24.948338 60.185783, 24.947859 60.185775, 24.947062 60.18576))",24.94451980720999,60.18541459352826,Road
224479207,Alvar Aallon katu,unclassified,"LINESTRING (24.938101 60.176964, 24.938193 60.176859, 24.938195 60.176844, 24.938349 60.175264, 24.938363 60.17512, 24.93837 60.175042, 24.938408 60.174693, 24.93841 60.174662, 24.938414 60.174563)",24.938296576447325,60.175779617677094,Road
4776709,Amiraalinkatu,unclassified,"LINESTRING (24.973106 60.167037, 24.97312 60.167024, 24.973168 60.166976, 24.973223 60.166923, 24.973582 60.166574, 24.973658 60.166505, 24.973723 60.166446, 24.974171 60.166019, 24.974243 60.165951, 24.974362 60.165835, 24.974418 60.165782, 24.974434 60.165766, 24.974498 60.165717)",24.973798536971806,60.166373064054746,Road
15242830,Amiraalinkuja,cycleway,"MULTILINESTRING ((24.973616 60.166464, 24.9729 60.166273, 24.97296 60.166208, 24.972579 60.166114, 24.972514 60.166098, 24.972274 60.166038, 24.9722 60.16602), (24.975165 60.166973, 24.975118 60.16696, 24.975091 60.166953, 24.975115 60.166927, 24.974412 60.166744, 24.974218 60.166694, 24.97391 60.166613, 24.973701 60.166559, 24.973733 60.166529, 24.973658 60.166505, 24.973592 60.166487))",24.97367521519796,60.16649601291954,Road
